code,name,category,properties,day_price
LIEF0963,"Chauvet - STRIKE Array 2, IP65 LED Blinder LED, WW 2-4",LIGHT,,27.50
LIEF0967,"Chauvet - STRIKE Array 4, IP65 LED Blinder LED, WW 2-4",LIGHT,,37.50
LIFL0202,"Steinigke - Public light 1300W 2-Light, 1x schuko black halo",LIGHT,,5.00
LIFL0203,"Showtec - Public light 1300W 2-Light, black incl. 1ch dim halo",LIGHT,,10.00
LIFL0206,"Showtec - Public light 2600W 4-Light, 2x schuko black halo",LIGHT,,15.00
LIFL0220,"Thomas - Public light 5200W 8-Light, 2x schuko black halo",LIGHT,,15.00
LIFL0730,"Showtec - Cat eye Public light 2x 250W, 1x Schuko halo",LIGHT,,5.00
LIFL0306,"Showtec - Active Sunstrip 1,0 m (10x 50W) halo 4-12",LIGHT,,10.00
LIPA0079,"Thomas - Ashtray, 650W DWE 110V (Patch Con) halo 2-16-32",LIGHT,,5.00
LIPA0081,"Rent-All - Par 36, 650W Ashtray (110V patch Con) halo 2-16-32",LIGHT,,5.00
LIEF0290,"Portman - P1 Retro light halo, 7 x 230W 2",LIGHT,,75.00
LIEF0292,"Portman - P2 Hexaline halo, 6 x 230W 2",LIGHT,,50.00
LIEF0294,"Portman - P3 Pix3l halo, 3 x 230W 2-4",LIGHT,,25.00
LIEF0298,"Portman - Mantis LED LED, RGBW-WW 2",LIGHT,,50.00
LIEF0299,"Portman - S-Tribe LED LED, RGBW-WW 4",LIGHT,,62.50
LIEF0301,"Robe - Patt 2013 soft light halo, 750W 1-2",LIGHT,,35.00
LIEF0250,"Rent-All - Parabolic Factory Lamp 50cmØ halo, 300W",LIGHT,,25.00
LIEF0157,Mirrorball 75 cm,LIGHT,,20.00
LIEF0159,Mirrorball 100 cm,LIGHT,,25.00
LIEF0176,Motor (for mirrorball 20-30-40-50-60 cm),LIGHT,,7.50
LIEF0178,Motor (for mirrorball 80 & 100 cm) max. 40 kg,LIGHT,,15.00
LIEF0936,MagicFX - Power drop for curtain drop 12,LIGHT,,16.67
LIEF0101,MagicFX - Power Shot 1-4,LIGHT,,18.75
LIEF0937,MagicFX - Power Shot II 4,LIGHT,,18.75
LIRO0106,Jem - ZR 45 Smoke machine,LIGHT,,45.00
LIRO0121,Jem - Compact Hazer Pro,LIGHT,,35.00
LIRO0119,"Jem - Hazer Pro, Hazer",LIGHT,,50.00
LIRO0245,MDG - Atmosphere,LIGHT,,170.00
LIRO0144,MDG - Atmosphere ATMe,LIGHT,,175.00
LIRO0149,MDG - Atmosphere High Output hazer,LIGHT,,250.00
LIRO0142,MDG - theONE Atmospheric Generator,LIGHT,,295.00
LIRO0922,MDG - ME2 fog machine Dual Nozzle,LIGHT,,250.00
LIRO0148,MDG - Max 3000,LIGHT,,200.00
LIRO0154,"CLF - Smoke 3100, RGB fogger, 3100W",LIGHT,,30.00
LIRO0108,"Look - Viper 2.6, Fog generator",LIGHT,,45.00
LIRO0112,"Look - Unique 2.1, Hazer",LIGHT,,50.00
LIRO0252,"Jem - Glaciator Dynamic, low fog DMX / 32A CEE Red",LIGHT,,340.00
LIRO0621,CLF - Turbine,LIGHT,,20.00
LIRO0606,"Jem - AirForce 2, DMX fan",LIGHT,,65.00
LIRO0609,MagicFX - Stage Blower,LIGHT,,20.00
LIRO0612,MagicFX - Stage FX-Blower [powercon True1],LIGHT,,25.00
LIEF0380,CLF - Spark-2 Fall Effect Hangbox 600w max. 8mtr,LIGHT,,35.00
LIEF0382,CLF - Spark-3 groundbox 600w max. 5 mtr,LIGHT,,35.00
LIEF0384,CLF - Spark-XL groundbox 1700w max. 15 mtr,LIGHT,,200.00
LIEF0414,MagicFX - Stage Flame max. 8 mtr (XLR3),LIGHT,,125.00
LIVO0110,"Robert Juliat - Followspot Alex halo, 2000W, 7°-14.5°",LIGHT,,100.00
LIVO0112,"Robert Juliat - Followspot Margot halo, 2500W, 8.5°-16°",LIGHT,,100.00
LIVO0005,"Robert Juliat - Followspot Korrigan MSI, 1200W, 5°-9°",LIGHT,,110.00
LIVO0006,"Robert Juliat - Followspot Super Korrigan MSI, 1200W, 7°-14.5°",LIGHT,,130.00
LIVO0126,"Robert Juliat - Followspot Victor dmx dim MSR, 1800W, 7°-14.5°",LIGHT,,200.00
LIVO0022,"Robert Juliat - Followspot Ivanhoe MSR, 2500W, 9°-21°",LIGHT,,250.00
LIVO0020,"Robert Juliat - Followspot Heloise MSR, 2500W, 15°-30°",LIGHT,,250.00
LIVO0015,"Robert Juliat - Followspot Aramis HMI, 2500W, 4.5°-8°",LIGHT,,200.00
LIVO0018,"Robert Juliat - Followspot Cyrano HMI, 2500W, 3°-8°",LIGHT,,275.00
LIVO0190,"Robert Juliat - Followspot Merlin dmx dim HMI, 2500W, 3°-12°",LIGHT,,350.00
LIVO0030,"Robert Juliat - Followspot Lancelot HTI, 4000W, 2°-5°",LIGHT,,580.00
LIVO0032,"Robert Juliat - Followspot Lancelot dmx dim HTI, 4000W, 2°-5°",LIGHT,,635.00
LIVO0153,Followspot chair for all followspots Robert Juliat 360° rang,LIGHT,,100.00
INCL0276,Robe - RoboSpot Base Station,LIGHT,,580.00
COMA0012,Follow-Me 3D system multiple target set V2 Single [3 piece],LIGHT,,960.00
